modelo,marca,valor,km,transmissao,combustivel,cor,ano,novidade,vendedor,href,info
TIGGO,CHERY,177000.0,11552,automatico,flex,Branco,2023,True,GUIMA VEICULOS - CHERY,https://carango.com.br/veiculo/chery-tiggo-7-2023-1-5-vvt-turbo-iflex-txs-dct-flex-115561,CHERY TIGGO 7 2023 1.5 VVT. TURBO IFLEX TXS DCT - Carango 115561
SANDERO,RENAULT,42000.0,96478,automatico,flex,Vermelho,2015,True,NETTO VEICULOS,https://carango.com.br/veiculo/renault-sandero-2015-1-0-authentique-4p-flex-manual-flex-115560,RENAULT SANDERO 2015  1.0 AUTHENTIQUE 4P FLEX  MANUAL  - Carango 115560
SANDERO,RENAULT,68990.0,42238,automatico,flex,2020,2020,True,Grupo R1 Autos ,https://carango.com.br/veiculo/renault-sandero-2020-1-0-authentique-4p-flex-manual-flex-115559,RENAULT SANDERO 2020  1.0 AUTHENTIQUE 4P FLEX  MANUAL  - Carango 115559
MOBI,FIAT,43000.0,73913,,flex,Vermelho,2018,True,NETTO VEICULOS,https://carango.com.br/veiculo/fiat-mobi-2018-1-0-mobi-drive-flex-115558,FIAT MOBI 2018 1.0 MOBI DRIVE - Carango 115558
SANDERO,RENAULT,65990.0,34000,manual,flex,Prata,2021,True,Grupo R1 Autos ,https://carango.com.br/veiculo/renault-sandero-2021-1-0-12v-sce-flex-gt-line-manual-flex-115557,RENAULT SANDERO 2021 1.0 12V SCE FLEX GT LINE MANUAL - Carango 115557
TRACKER,CHEVROLET,97000.0,88117,automatico,flex,Prata,2021,True,MARVEL VEÍCULOS SEMINOVOS,https://carango.com.br/veiculo/chevrolet-tracker-2021-1-0-turbo-flex-lt-automatico-flex-115556,CHEVROLET TRACKER 2021 1.0 TURBO FLEX LT AUTOMÁTICO - Carango 115556
SANDERO,RENAULT,39990.0,85269,manual,flex,Branco,2014,False,TOPCAR Veículos,https://carango.com.br/veiculo/renault-sandero-2014-1-0-tech-run-16v-flex-4p-manual-gasolina-e-alcool-115554,RENAULT SANDERO 2014 1.0 TECH RUN 16V FLEX 4P MANUAL - Carango 115554
PUNTO,FIAT,47900.0,80615,manual,flex,Branco,2016,True,CAMESA AUTOMÓVEIS,https://carango.com.br/veiculo/fiat-punto-2016-1-4-attractive-8v-flex-4p-manual-flex-115553,FIAT PUNTO 2016 1.4 ATTRACTIVE 8V FLEX 4P MANUAL - Carango 115553
C,MERCEDES-BENZ,73000.0,99970,automatico,gasolina,Preto,2011,False,Isaias Automóveis - Aracaju,https://carango.com.br/veiculo/mercedes-benz-c-180-2011-1-8-cgi-classic-16v-turbo-gasolina-4p-automatico-gasolina-115552,MERCEDES-BENZ C 180 2011 1.8 CGI CLASSIC 16V TURBO GASOLINA 4P AUTOMÁTICO - Carango 115552
STRADA,FIAT,84000.0,55380,manual,flex,Branco,2021,False,Isaias Automóveis - Aracaju,https://carango.com.br/veiculo/fiat-strada-2021-1-4-fire-flex-endurance-cs-manual-gasolina-e-alcool-115551,FIAT STRADA 2021 1.4 FIRE FLEX ENDURANCE CS MANUAL - Carango 115551
